Provinsi,Jumlah Penduduk Miskin - Maret (ribu) (Ribu),Jumlah Penduduk Miskin - September (ribu) (Ribu),Persentase Penduduk Miskin - Maret,Persentase Penduduk Miskin - September
Aceh,848.44,841.31,16.73,16.43
Sumatera Utara,1455.95,1452.55,10.35,10.27
Sumatera Barat,371.56,376.51,7.09,7.14
Riau,515.4,501.59,7.98,7.67
Jambi,289.8,290.81,8.41,8.37
Sumatera Selatan,1101.19,1096.5,13.54,13.39
Bengkulu,328.61,325.6,17.32,17.03
Lampung,1169.6,1139.78,14.29,13.86
Kepulauan Bangka Belitung,72.76,71.07,5.22,5.04
Kepulauan Riau,120.41,119.14,5.98,5.84
DKI Jakarta,384.3,385.84,3.75,3.75
Jawa Barat,4224.33,4168.11,8.95,8.77
Jawa Tengah,4506.89,4493.75,13.27,13.19
DI Yogyakarta,494.94,488.83,13.34,13.1
Jawa Timur,4703.3,4638.53,12.05,11.85
Banten,658.11,657.74,5.42,5.36
Bali,178.18,174.94,4.25,4.15
Nusa Tenggara Barat,804.44,786.58,16.48,16.02
Nusa Tenggara Timur,1149.92,1150.08,22.19,22.01
Kalimantan Barat,381.35,390.32,7.87,8
Kalimantan Tengah,143.49,137.46,5.66,5.36
Kalimantan Selatan,195.7,184.16,4.85,4.52
Kalimantan Timur,212.92,211.24,6.11,6
Kalimantan Utara,41.12,47.03,6.23,6.99
Sulawesi Utara,202.82,200.35,8.34,8.2
Sulawesi Tengah,420.52,413.15,14.45,14.09
Sulawesi Selatan,807.03,796.81,9.4,9.24
Sulawesi Tenggara,326.86,327.29,12.88,12.77
Gorontalo,203.19,203.69,17.72,17.63
Sulawesi Barat,152.73,146.9,11.74,11.19
Maluku,327.72,331.79,19.18,19.26
Maluku Utara,74.68,76.4,6.33,6.41
Papua Barat,225.8,223.6,25.43,24.88
Papua,911.33,914.87,28.54,28.4
Indonesia,28005.39,27764.32,10.86,10.7
