Provinsi,Garis Kemiskinan - Maret (Rp),Garis Kemiskinan - September (Rp),Jumlah Penduduk Miskin - Maret (ribu) (Ribu),Jumlah Penduduk Miskin - September (ribu) (Ribu),Persentase Penduduk Miskin - Maret,Persentase Penduduk Miskin - September
Aceh,522126,...,814.91,...,14.99,...
Sumatera Utara,502904,...,1283.29,...,8.75,...
Sumatera Barat,544315,...,344.23,...,6.28,...
Riau,544057,...,483.39,...,6.82,...
Jambi,483542,...,277.8,...,7.58,...
Sumatera Selatan,439041,...,1081.59,...,12.66,...
Bengkulu,527031,...,302.58,...,15.03,...
Lampung,453733,...,1049.32,...,12.34,...
Kepulauan Bangka Belitung,721455,...,68.4,...,4.53,...
Kepulauan Riau,614727,...,131.97,...,5.92,...
DKI Jakarta,680401,...,480.86,...,4.53,...
Jawa Barat,410988,...,3920.23,...,7.88,...
Jawa Tengah,395407,...,3980.9,...,11.41,...
DI Yogyakarta,463479,...,475.72,...,12.28,...
Jawa Timur,416001,...,4419.1,...,11.09,...
Banten,508091,...,775.99,...,5.92,...
Bali,429834,...,165.19,...,3.78,...
Nusa Tenggara Barat,404941,...,713.89,...,13.97,...
Nusa Tenggara Timur,403005,...,1153.76,...,20.9,...
Kalimantan Barat,471200,...,366.77,...,7.17,...
Kalimantan Tengah,485635,...,132.94,...,4.82,...
Kalimantan Selatan,497262,...,187.87,...,4.38,...
Kalimantan Timur,662302,...,230.27,...,6.1,...
Kalimantan Utara,681035,...,51.79,...,6.8,...
Sulawesi Utara,391197,...,192.37,...,7.62,...
Sulawesi Tengah,474627,...,398.73,...,12.92,...
Sulawesi Selatan,350264,...,776.83,...,8.72,...
Sulawesi Tenggara,356444,...,301.82,...,11,...
Gorontalo,368990,...,185.02,...,15.22,...
Sulawesi Barat,350743,...,152.01,...,10.87,...
Maluku,555197,...,318.19,...,17.44,...
Maluku Utara,462639,...,86.37,...,6.78,...
Papua Barat,610888,...,208.58,...,21.37,...
Papua,562992,...,911.37,...,26.64,...
Indonesia,454652,...,26424.02,...,9.78,...
